query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference
250,0.1,1,0.01056012511253357,0.01214911937713623,0.25530505180358887,0.1355055093765259,0.0661562979221344,0.04807158708572388,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.0015889942646026608
190,0.1,1,0.029194951057434082,0.019420546293258668,0.3082770109176636,0.112880539894104,0.20629435777664185,0.06594287157058716,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.009774404764175414
505,0.1,1,0.08517426252365112,0.034209424257278444,0.3450014591217041,0.11755311489105225,0.06186336278915405,0.05698787569999695,2,1.2,1,0.4,0,0.6,1,1.0,1,1.0,0.05096483826637268
486,0.1,1,0.019431769847869873,0.015060514211654663,0.36365407705307007,0.15196776390075684,0.014234185218811035,0.040245848894119265,0,0.2,0,0.2,1,0.8,1,1.0,1,1.0,0.00437125563621521
72,0.1,1,0.08158296346664429,0.012238883972167968,0.2534712553024292,0.11519367694854736,0.09514462947845459,0.038422894477844236,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06934407949447632
222,0.1,1,0.04770439863204956,0.015350648760795593,0.44710779190063477,0.1111989140510559,0.0787230134010315,0.03454767465591431,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.032353749871253966
42,0.1,1,0.022034019231796265,0.0069327116012573246,0.157082200050354,0.06030299663543701,0.017254918813705444,0.005734103918075562,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.01510130763053894
59,0.1,1,0.017456531524658203,0.03445561528205872,0.2303905487060547,0.13346058130264282,0.11738908290863037,0.079551100730896,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.016999083757400515
598,0.1,1,0.12834660708904266,0.06308819353580475,0.3012579679489136,0.18120700120925903,0.1474415361881256,0.07014713287353516,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06525841355323792
136,0.1,1,0.04677121341228485,0.021990233659744264,0.3070131540298462,0.18464968204498292,0.09836414456367493,0.04852419495582581,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.024780979752540587
686,0.1,1,0.1864473521709442,0.06653250753879547,0.45715367794036865,0.17220940589904785,0.1862485706806183,0.07114660739898682,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.11991484463214874
567,0.1,1,0.028828978538513184,0.009502750635147095,0.29089856147766113,0.10330440998077392,0.1788022816181183,0.04969933032989502,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.019326227903366088
343,0.1,1,0.0779363214969635,0.021788835525512695,0.2320089340209961,0.09188458919525147,0.07984751462936401,0.03745577335357666,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.056147485971450806
482,0.1,1,0.049859583377838135,0.018664562702178956,0.3288164734840393,0.11859849691390992,0.12113744020462036,0.0371911346912384,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.03119502067565918
689,0.1,1,0.08701068162918091,0.021890795230865477,0.34424781799316406,0.09668749570846558,0.15920090675354004,0.04687492847442627,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06511988639831542
129,0.1,1,0.03006395697593689,0.0013671338558197022,0.29198598861694336,0.21564745903015137,0.01765689253807068,-0.02629702091217041,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.028696823120117187
334,0.1,1,0.1384362280368805,0.028971394896507262,0.4236871004104614,0.14467248916625977,0.2396080493927002,0.06154168844223022,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.10946483314037322
242,0.1,1,-0.02032729983329773,-0.008824342489242553,0.3631913661956787,0.1851416826248169,0.12821796536445618,0.0578535795211792,0,0.2,0,0.2,1,0.8,1,1.0,1,1.0,-0.011502957344055176
211,0.1,1,0.07812690734863281,0.030772876739501954,0.33063626289367676,0.1375706434249878,0.11443918943405151,0.046125733852386476,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04735403060913086
315,0.1,18,0.02802005410194397,0.006440800428390503,0.11542457342147827,0.07453874349594117,-0.017708808183670044,0.006522876024246216,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.021579253673553466
332,0.1,1,0.012321770191192627,0.0014648735523223877,0.28192514181137085,0.07793715000152587,0.0028683841228485107,0.003760063648223877,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.01085689663887024
544,0.1,1,0.14068728685379028,0.0569688081741333,0.30859851837158203,0.10126045942306519,0.14183223247528076,0.04081907272338867,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08371847867965698
43,0.1,1,0.06804606318473816,0.047336867451667784,0.3005855679512024,0.18381388187408448,0.08638519048690796,0.056054556369781496,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.020709195733070375
36,0.1,1,0.09528669714927673,0.028113043308258055,0.2675926685333252,0.10308568477630616,0.16511210799217224,0.04512655735015869,3,0.2,1,0.2,0,0.8,1,1.0,1,1.0,0.06717365384101867
245,0.1,1,0.2191009521484375,0.040594559907913205,0.3495776653289795,0.1420443058013916,0.24205219745635986,0.07077929973602295,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.17850639224052428
624,0.1,1,0.06195762753486633,0.03793459534645081,0.2407151460647583,0.09583742618560791,0.06566882133483887,0.02957550287246704,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.024023032188415526
163,0.1,2,-0.014250800013542175,-0.001341313123703003,0.3724960684776306,0.11847801208496093,0.056355252861976624,-0.005778843164443969,-1,-0.2,0,0.0,1,0.2,1,1.0,1,1.0,-0.012909486889839172
307,0.1,1,-0.002494409680366516,0.03946312665939331,0.3267366290092468,0.1876962661743164,0.02239859104156494,0.04142563343048096,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.04195753633975983
525,0.1,1,0.0954766571521759,0.06363075375556945,0.2410551905632019,0.14815974235534668,0.11203378438949585,0.06742087602615357,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.03184590339660645
512,0.1,1,-0.004798322916030884,0.02868695855140686,0.2618408203125,0.12384364604949952,0.030051827430725098,0.04281715154647827,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.03348528146743775
720,0.1,1,-0.0029447078704833984,0.006570020318031311,0.2909623384475708,0.1797919750213623,0.07535281777381897,0.03647177815437317,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.009514728188514709
437,0.1,1,0.19928520917892456,0.11019939780235291,0.41910380125045776,0.29087085723876954,0.19689428806304932,0.1182433545589447,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08908581137657165
258,0.1,1,0.05419403314590454,0.019861888885498048,0.2821975350379944,0.10091091394424438,0.06490945816040039,0.02012760639190674,2,1.0,1,0.8,0,0.2,1,1.0,1,1.0,0.0343321442604065
249,0.1,1,-0.036411821842193604,0.0050425887107849125,0.30111193656921387,0.16392199993133544,0.11724960803985596,0.08597112894058227,0,0.4,0,0.2,1,0.8,1,1.0,1,1.0,-0.041454410552978514
476,0.1,1,-0.033909767866134644,-0.02773756980895996,0.3498486280441284,0.2017883062362671,0.05891391634941101,0.026879167556762694,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.006172198057174682
18,0.1,1,0.0163097083568573,-0.0012497305870056152,0.2586914896965027,0.10588618516921997,0.04754072427749634,0.01924717426300049,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.017559438943862915
